Wall time,Step,Value
1598923271.4785316,100,0.3392941355705261
1598923349.554675,200,0.3034040033817291
1598923472.8539965,300,0.2746124565601349
1598923627.8653607,400,0.2664998769760132
1598923786.5239058,500,0.24165259301662445
1598923950.455082,600,0.23850460350513458
1598924111.9778202,700,0.22525231540203094
1598924257.9338813,800,0.2222566157579422
1598924407.2231917,900,0.21146456897258759
1598924546.7015219,1000,0.20309790968894958
1598924698.1682453,1100,0.19681617617607117
1598924844.5459597,1200,0.19051632285118103
1598924990.9127483,1300,0.19614404439926147
1598925128.8130589,1400,0.1968187391757965
1598925270.582027,1500,0.19361436367034912
1598925420.715851,1600,0.18575598299503326
1598925567.7918935,1700,0.19206437468528748
1598925711.2476828,1800,0.1822405457496643
1598925852.9813902,1900,0.1816577911376953
1598925991.3563397,2000,0.19015684723854065
1598926135.5650496,2100,0.18890948593616486
1598926278.1383622,2200,0.17653824388980865
1598926417.0817604,2300,0.17772063612937927
1598926553.5420845,2400,0.19393406808376312
1598926690.4056854,2500,0.19020576775074005
1598926829.620644,2600,0.17943555116653442
1598926965.8632984,2700,0.17805452644824982
1598927101.1731071,2800,0.1795194149017334
1598927235.6595485,2900,0.18088826537132263
1598927369.3727715,3000,0.1782875806093216
1598927510.6729836,3100,0.1762566715478897
1598927652.9680977,3200,0.18799954652786255
1598927792.8958483,3300,0.17409880459308624
1598927965.2079513,3400,0.18340864777565002
1598928107.218839,3500,0.18461914360523224
1598928250.6414363,3600,0.1748979389667511
1598928388.5306017,3700,0.17422950267791748
1598928525.56745,3800,0.1896210014820099
1598928661.2535725,3900,0.17990347743034363
1598928797.0318005,4000,0.1702996790409088
1598928936.54567,4100,0.17456252872943878
1598929073.1963868,4200,0.17773786187171936
1598929212.7592087,4300,0.1832631230354309
1598929353.62238,4400,0.1837647557258606
1598929492.153068,4500,0.16858583688735962
1598929634.3713923,4600,0.16326455771923065
1598929771.7569118,4700,0.1828024685382843
1598929912.7161875,4800,0.1876533031463623
1598930052.5099256,4900,0.17083781957626343
1598930192.2894013,5000,0.17090624570846558
1598930335.770032,5100,0.18113866448402405
1598930477.0575333,5200,0.17142923176288605
